Rank   Exmpl   DevAcc           ngram_order           kn_discount         laplace_alpha     min_context_count          max_contexts
 199   11/13   0.5870                     5                  0.75                  0.01                     2                500000
 200   11/13   0.5870                     5                  0.75                   0.1                     2                500000
 201   11/13   0.5870                     5                  0.75                   1.0                     2                500000
 202   11/13   0.5870                     5                   0.9                  0.01                     2                500000
 203   11/13   0.5870                     5                   0.9                   0.1                     2                500000
 204   11/13   0.5870                     5                   0.9                   1.0                     2                500000
 205   11/13   0.5870                     5                  0.75                  0.01                     3                500000
 206   11/13   0.5870                     5                  0.75                   0.1                     3                500000
 207   11/13   0.5870                     5                  0.75                   1.0                     3                500000
 208   11/13   0.5870                     5                   0.9                  0.01                     3                500000
 209   11/13   0.5870                     5                   0.9                   0.1                     3                500000
 210   11/13   0.5870                     5                   0.9                   1.0                     3                500000
 211   11/13   0.5870                     5                  0.75                  0.01                     5                500000
 212   11/13   0.5870                     5                  0.75                   0.1                     5                500000
 213   11/13   0.5870                     5                  0.75                   1.0                     5                500000
 214   11/13   0.5870                     5                   0.9                  0.01                     5                500000
 215   11/13   0.5870                     5                   0.9                   0.1                     5                500000
 216   11/13   0.5870                     5                   0.9                   1.0                     5                500000
 217   11/13   0.5800                     6                   0.5                  0.01                     2                300000
 218   11/13   0.5800                     6                   0.5                   0.1                     2                300000
 219   11/13   0.5800                     6                   0.5                   1.0                     2                300000
 220   11/13   0.5800                     6                  0.75                  0.01                     2                300000
 221   11/13   0.5800                     6                  0.75                   0.1                     2                300000
 222   11/13   0.5800                     6                  0.75                   1.0                     2                300000
 223   11/13   0.5800                     6                   0.9                  0.01                     2                300000
 224   11/13   0.5800                     6                   0.9                   0.1                     2                300000
 225   11/13   0.5800                     6                   0.9                   1.0                     2                300000
 226   11/13   0.5800                     6                   0.5                  0.01                     3                300000
 227   11/13   0.5800                     6                   0.5                   0.1                     3                300000
 228   11/13   0.5800                     6                   0.5                   1.0                     3                300000
 229   11/13   0.5800                     6                  0.75                  0.01                     3                300000
 230   11/13   0.5800                     6                  0.75                   0.1                     3                300000
 231   11/13   0.5800                     6                  0.75                   1.0                     3                300000
 232   11/13   0.5800                     6                   0.9                  0.01                     3                300000
 233   11/13   0.5800                     6                   0.9                   0.1                     3                300000
 234   11/13   0.5800                     6                   0.9                   1.0                     3                300000
 235   11/13   0.5800                     6                   0.5                  0.01                     5                300000
 236   11/13   0.5800                     6                   0.5                   0.1                     5                300000
 237   11/13   0.5800                     6                   0.5                   1.0                     5                300000
 238   11/13   0.5800                     6                  0.75                  0.01                     5                300000
 239   11/13   0.5800                     6                  0.75                   0.1                     5                300000
 240   11/13   0.5800                     6                  0.75                   1.0                     5                300000
 241   11/13   0.5800                     6                   0.9                  0.01                     5                300000
 242   11/13   0.5800                     6                   0.9                   0.1                     5                300000
 243   11/13   0.5800                     6                   0.9                   1.0                     5                300000
 244   11/13   0.5770                     7                   0.5                  0.01                     2                300000
 245   11/13   0.5770                     7                   0.5                   0.1                     2                300000
 246   11/13   0.5770                     7                   0.5                   1.0                     2                300000
 247   11/13   0.5770                     7                   0.5                  0.01                     3                300000
 248   11/13   0.5770                     7                   0.5                   0.1                     3                300000
 249   11/13   0.5770                     7                   0.5                   1.0                     3                300000
 250   11/13   0.5770                     7                   0.5                  0.01                     5                300000
 251   11/13   0.5770                     7                   0.5                   0.1                     5                300000
 252   11/13   0.5770                     7                   0.5                   1.0                     5                300000
 253   11/13   0.5760                     7                  0.75                  0.01                     2                300000
 254   11/13   0.5760                     7                  0.75                   0.1                     2                300000
 255   11/13   0.5760                     7                  0.75                   1.0                     2                300000
 256   11/13   0.5760                     7                   0.9                  0.01                     2                300000
 257   11/13   0.5760                     7                   0.9                   0.1                     2                300000
 258   11/13   0.5760                     7                   0.9                   1.0                     2                300000
 259   11/13   0.5760                     7                  0.75                  0.01                     3                300000
 260   11/13   0.5760                     7                  0.75                   0.1                     3                300000
 261   11/13   0.5760                     7                  0.75                   1.0                     3                300000
 262   11/13   0.5760                     7                   0.9                  0.01                     3                300000
 263   11/13   0.5760                     7                   0.9                   0.1                     3                300000
 264   11/13   0.5760                     7                   0.9                   1.0                     3                300000
 265   11/13   0.5760                     7                  0.75                  0.01                     5                300000
 266   11/13   0.5760                     7                  0.75                   0.1                     5                300000
 267   11/13   0.5760                     7                  0.75                   1.0                     5                300000
 268   11/13   0.5760                     7                   0.9                  0.01                     5                300000
 269   11/13   0.5760                     7                   0.9                   0.1                     5                300000
 270   11/13   0.5760                     7                   0.9                   1.0                     5                300000
 271   11/13   0.5730                     8                   0.5                  0.01                     2                300000
 272   11/13   0.5730                     8                   0.5                   0.1                     2                300000
 273   11/13   0.5730                     8                   0.5                   1.0                     2                300000
 274   11/13   0.5730                     8                   0.5                  0.01                     3                300000
 275   11/13   0.5730                     8                   0.5                   0.1                     3                300000
 276   11/13   0.5730                     8                   0.5                   1.0                     3                300000
 277   11/13   0.5730                     8                   0.5                  0.01                     5                300000
 278   11/13   0.5730                     8                   0.5                   0.1                     5                300000
 279   11/13   0.5730                     8                   0.5                   1.0                     5                300000
 280   11/13   0.5720                     8                  0.75                  0.01                     2                300000
 281   11/13   0.5720                     8                  0.75                   0.1                     2                300000
 282   11/13   0.5720                     8                  0.75                   1.0                     2                300000
 283   11/13   0.5720                     8                   0.9                  0.01                     2                300000
 284   11/13   0.5720                     8                   0.9                   0.1                     2                300000
 285   11/13   0.5720                     8                   0.9                   1.0                     2                300000
 286   11/13   0.5720                     8                  0.75                  0.01                     3                300000
 287   11/13   0.5720                     8                  0.75                   0.1                     3                300000
 288   11/13   0.5720                     8                  0.75                   1.0                     3                300000
 289   11/13   0.5720                     8                   0.9                  0.01                     3                300000
 290   11/13   0.5720                     8                   0.9                   0.1                     3                300000
 291   11/13   0.5720                     8                   0.9                   1.0                     3                300000
 292   11/13   0.5720                     8                  0.75                  0.01                     5                300000
 293   11/13   0.5720                     8                  0.75                   0.1                     5                300000
 294   11/13   0.5720                     8                  0.75                   1.0                     5                300000
 295   11/13   0.5720                     8                   0.9                  0.01                     5                300000
 296   11/13   0.5720                     8                   0.9                   0.1                     5                300000
 297   11/13   0.5720                     8                   0.9                   1.0                     5                300000
 298   11/13   0.5700                     5                   0.5                  0.01                     2                300000
 299   11/13   0.5700                     5                   0.5                   0.1                     2                300000
 300   11/13   0.5700                     5                   0.5                   1.0                     2                300000
 301   11/13   0.5700                     5                   0.5                  0.01                     3                300000
 302   11/13   0.5700                     5                   0.5                   0.1                     3                300000
 303   11/13   0.5700                     5                   0.5                   1.0                     3                300000
 304   11/13   0.5700                     5                   0.5                  0.01                     5                300000
 305   11/13   0.5700                     5                   0.5                   0.1                     5                300000
 306   11/13   0.5700                     5                   0.5                   1.0                     5                300000
 307   11/13   0.5690                     5                  0.75                  0.01                     2                300000
 308   11/13   0.5690                     5                  0.75                   0.1                     2                300000
 309   11/13   0.5690                     5                  0.75                   1.0                     2                300000
 310   11/13   0.5690                     5                   0.9                  0.01                     2                300000
 311   11/13   0.5690                     5                   0.9                   0.1                     2                300000
 312   11/13   0.5690                     5                   0.9                   1.0                     2                300000
 313   11/13   0.5690                     5                  0.75                  0.01                     3                300000
 314   11/13   0.5690                     5                  0.75                   0.1                     3                300000
 315   11/13   0.5690                     5                  0.75                   1.0                     3                300000
 316   11/13   0.5690                     5                   0.9                  0.01                     3                300000
 317   11/13   0.5690                     5                   0.9                   0.1                     3                300000
 318   11/13   0.5690                     5                   0.9                   1.0                     3                300000
 319   11/13   0.5690                     5                  0.75                  0.01                     5                300000
 320   11/13   0.5690                     5                  0.75                   0.1                     5                300000
 321   11/13   0.5690                     5                  0.75                   1.0                     5                300000
 322   11/13   0.5690                     5                   0.9                  0.01                     5                300000
 323   11/13   0.5690                     5                   0.9                   0.1                     5                300000
 324   11/13   0.5690                     5                   0.9                   1.0                     5                300000

Best: dev=0.6370  example=10/13
Params: {'ngram_order': 7, 'kn_discount': 0.5, 'laplace_alpha': 0.01, 'min_context_count': 2, 'max_contexts': 1000000}
